Main_Type,Secondary_Type,Sub_Type,Urgency_Level,Duration,Location,Weight,Extras
כניסה לישראל,"סירוב כניסה לישראל כאשר העורר שוהה בנתב""ג או במעבר גבול אחר",,1,0:30,Tel Aviv,1,
כניסה לישראל,אי מתן מענה,,1,,,1,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight this week,2,0:30,Tel Aviv,2,
הרחקה מישראל,ערר נגד צו הרחקה כאשר העורר מצוי במשמורת,flight 24hrs,1,0:30,Tel Aviv,1,
הרחקה מישראל,אי מתן מענה,,2,,,2,
אשרת תייר,סירוב הארכת אשרה או רישיון ביקור מסוג ב2( אשרת תייר(,,4,0:15,,4,
אשרת תייר,סירוב מתן אשרת תייר )כאשר העורר מצוי בארצו(,,4,0:15,,4,
אשרת תייר,אי מתן מענה,,3,,,3,
איחוד משפחות,בקשה לשדרוג מעמד,not from jerusalem,4,0:30,/ Not Jersualem,4,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer live in jerusalem,4,0:30,Jerusalem,4,
איחוד משפחות,בקשה לשדרוג מעמד,got from jerusalem orer not live in jerusalem,4,0:35,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר אשר הינו ידוע בציבור של אזרח ישראלי לפי נוהל מס' 0009.2.5,not from jerusalem,4,0:30,/ Not Jersualem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר אשר הינו ידוע בציבור של אזרח ישראלי לפי נוהל מס' 0009.2.5,got from jerusalem orer live in jerusalem,4,0:30,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר אשר הינו ידוע בציבור של אזרח ישראלי לפי נוהל מס' 0009.2.5,got from jerusalem orer not live in jerusalem,4,0:35,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,not from jerusalem,4,0:30,/ Not Jersualem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer live in jerusalem,4,0:30,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לאזרח ישראלי לפי נוהל מס' 0008.2.5,got from jerusalem orer not live in jerusalem,4,0:35,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לתושב קבע לפי נוהל מס' 0011.2.5,not from jerusalem,4,0:30,/ Not Jersualem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לתושב קבע לפי נוהל מס' 0011.2.5,got from jerusalem orer live in jerusalem,4,0:30,Jerusalem,4,
איחוד משפחות,הסדרת מעמד לבן זוג זר הנשוי לתושב קבע לפי נוהל מס' 0011.2.5,got from jerusalem orer not live in jerusalem,4,0:35,Jerusalem,4,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,not from jerusalem,4,0:30,/ Not Jersualem,4,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer live in jerusalem,4,0:30,Jerusalem,4,
איחוד משפחות,מעמד לקטין נלווה להליך מדורג,got from jerusalem orer not live in jerusalem,4,0:35,Jerusalem,4,
איחוד משפחות,אי מתן מענה,not from jerusalem,3,0:30,/ Not Jersualem,3,
איחוד משפחות,אי מתן מענה,got from jerusalem orer live in jerusalem,3,0:30,Jerusalem,3,
איחוד משפחות,אי מתן מענה,got from jerusalem orer not live in jerusalem,3,0:35,Jerusalem,3,
רישום ילדים,רישום ומתן מעמד לקטין שנולד בישראל שרק אחד מהוריו תושב קבע לפי תקנה 12 לתקנות הכניסה לישראל נוהל מס' 0029.2.5,,4,0:30,,4,
רישום ילדים,רישום ומתן מעמד לקטין שנולד מחוץ לישראל שרק אחד מהוריו רשום כתושב קבע נוהל 5.2.0030 'מס,,4,0:30,,4,
רישום ילדים,אי מתן מענה,,3,0:30,,3,
עבודה (לרבות ענף הסיעוד) ולימודים,בקשת עובד זר לעבור בין ענפים,,4,0:20,,4,
עבודה (לרבות ענף הסיעוד) ולימודים,טיפול באשרת כניסה חוזרת לישראל לעובדים זרים )אינטרויזה(,,4,0:20,,4,
עבודה (לרבות ענף הסיעוד) ולימודים,מתן והארכת רישיון שהייה מסוג א/2 לתלמידים ולסטודנטים זרים,,4,0:20,,4,
עבודה (לרבות ענף הסיעוד) ולימודים,סיעוד דחייה על הסף של בקשה להארכת אשרה ורישיון לפי סעיף 3א)ב1 ),,4,0:20,,4,
עבודה (לרבות ענף הסיעוד) ולימודים,סיעוד הארכת אשרת ב/1 סיעודי,,4,0:20,,4,
עבודה (לרבות ענף הסיעוד) ולימודים,סיעוד החלטה על דחיית בקשה לפי סעיף 3א)ב1( )החלטת ועדה(,,4,0:20,,4,
עבודה (לרבות ענף הסיעוד) ולימודים,אי מתן מענה,,3,0:20,,3,
זיקה לחוק השבות,"החלטה בנוגע לזכאות הקשורה לחוק השבות, אשר התקבלה מכוח חוק הכניסה לישראל",,4,0:30,,4,
זיקה לחוק השבות,מעמד לנין של יהודי לפי נוהל מס' 0027.2.5,,4,0:30,,4,
זיקה לחוק השבות,פלשמורה,,4,0:30,,4,
זיקה לחוק השבות,אי מתן מענה,,3,0:30,,3,
התאזרחות,בקשה להשלמת הליך התאזרחות מכוח סעיף 7 לחוק האזרחות,,4,0:40,,4,
התאזרחות,אי מתן מענה,,3,0:40,,3,
תושבות,החלטה בעניין בקשת תושבות,,4,0:35,,4,
תושבות,נוהל פקיעת רישיון לישיבת קבע מס' 0018.2.5,,4,0:35,,4,
תושבות,אי מתן מענה,,3,0:35,,3,
מחוסרי אזרחות / העדר מסמכי נסיעה,החלטה לפי נוהל מחוסרי אזרחות מס' 0015.1.10,,4,0:30,,4,
מחוסרי אזרחות / העדר מסמכי נסיעה,העדר מסמכי נסיעה,,4,0:30,,4,
מחוסרי אזרחות / העדר מסמכי נסיעה,ערר נגד צו הרחקה כאשר העורר אינו מצוי במשמורת ולא הגיש בקשה מכוח נוהל אחר,,4,0:30,,4,
מחוסרי אזרחות / העדר מסמכי נסיעה,אי מתן מענה,,3,0:30,,3,
הומניטרי,מעמד ילדי זרים,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד ילדי זרים,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד לאחר הפסקת הליך מדורג בשל מוות או גירושין לפי נוהל מס' 0017.2.5,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד לאחר הפסקת הליך מדורג בשל מוות או גירושין לפי נוהל מס' 0017.2.5,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד לאחר הפסקת הליך מדורג כתוצאה מאלימות לפי נוהל מס' 0019.2.5,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד לאחר הפסקת הליך מדורג כתוצאה מאלימות לפי נוהל מס' 0019.2.5,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד לבנים ולנכדים של חסידי אומות העולם לפי נוהל מס' 0032.2.5,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד לבנים ולנכדים של חסידי אומות העולם לפי נוהל מס' 0032.2.5,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד להורה קשיש של אזרח ישראלי לפי נוהל מס' 0033.2.5,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד להורה קשיש של אזרח ישראלי לפי נוהל מס' 0033.2.5,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד להורים של חיילים לפי נוהל מס' 0036.2.5,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד להורים של חיילים לפי נוהל מס' 0036.2.5,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד מטעמים הומניטריים כלליים אחרי דיון בוועדה ההומניטרית הבינמשרדית,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד מטעמים הומניטריים כלליים אחרי דיון בוועדה ההומניטרית הבינמשרדית,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד מטעמים הומניטריים כלליים דחיית בקשה טרם דיון בוועדה ההומניטרית הבינמשרדית,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד מטעמים הומניטריים כלליים דחיית בקשה טרם דיון בוועדה ההומניטרית הבינמשרדית,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד מטעמים רפואיים לפי נוהל מס' 0038.2.5 או נוהל 0022.2.5,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד מטעמים רפואיים לפי נוהל מס' 0038.2.5 או נוהל 0022.2.5,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד לנפגעי עבדות /סחר לעבודות כפייה/ סחר בנשים לפי נוהל מס' 0008.3.6,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,מעמד לנפגעי פעולות האיבה לפי נוהל מס' 0036.2.5,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,מעמד לנפגעי פעולות האיבה לפי נוהל מס' 0036.2.5,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,שדרוג מעמד הומניטרי,got Jerusalem,4,0:35,Jerusalem,4,
הומניטרי,שדרוג מעמד הומניטרי,not got Jerusalem,4,0:30,/ Not jerusalem,4,
הומניטרי,אי מתן מענה,got Jerusalem,3,0:35,Jerusalem,3,
הומניטרי,אי מתן מענה,not got Jerusalem,3,0:30,/ Not jerusalem,3,
מקלט,דחיית בקשת מקלט לפי סעיף 1 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,4,0:15,Tel Aviv,4,
מקלט,דחיית בקשת מקלט לפי סעיף 3 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,4,0:15,Tel Aviv,4,
מקלט,דחיית בקשת מקלט לפי סעיף 4 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,4,0:25,Jerusalem,4,
מקלט,דחיית בקשת מקלט לפי סעיף 1.5 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,4,0:30,Tel Aviv,4,
מקלט,דחיית בקשת מקלט לפי סעיף 6 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,4,0:25,Jerusalem,4,
מקלט,דחיית בקשת מקלט לפי סעיף 7 לנוהל הטיפול במבקשי מקלט מס' 0012.2.5,,4,0:25,Jerusalem,4,
מקלט,טיפול בבקשה למתן מקלט טענות סף או פרוצדוראליות,,4,0:15,Tel Aviv / Jerusalem,4,
מקלט,טיפול במתן מעמד לבן זוג של מבקש מקלט לפי סעיף 12 לנוהל הטיפול במבקשי מקלט 5.2.0012 'מ,,4,0:35,Tel Aviv / Jerusalem,4,
מקלט,טיפול במתן מעמד לבן זוג של פליט מוכר לפי נוהל הטיפול במעמד לבן זוג של פליט מוכר אי מתן מענה,,4,0:35,Tel Aviv / Jerusalem,4,
מקלט,אי מתן מענה,,3,0:20,,3,should be zoom
כללי,רגיל,,4,0:15,Tel Aviv,4,
כללי,אי מתן מענה,,3,0:15,Tel Aviv,3,
תיקים בטחוני,,,3,0:30,Jerusalem,3,Thursday